== vae_miniwan_womd: miniwan, 5.60M params, world 4, per-rank batch 6 x accum 1 = effective 24; 1666 steps/epoch, 83300 steps total
{"VAE_ZDIM": 16, "VAE_DIM": 20, "VAE_NUM_RES_BLOCKS": 2, "VAE_INPUT_NORM": true, "INPUT_NORM_MEAN": [0.6014379089315451, 0.6051588518894708, 0.6036423582790911], "INPUT_NORM_STD": [0.08911796400949443, 0.08588843954384612, 0.1257365217955014], "VAE_DROPOUT": 0.1, "VAE_STREAMING": false, "FRAMES": 33, "IMG": 96, "FPS": 7, "DATASET": "womd_7hz_f33", "INIT": "miniwan", "EPOCHS": 50, "EFFECTIVE_BATCH": 24, "VAE_LR": 0.0002, "VAE_LR_END": 1e-06, "WARMUP_FRAC": 0.1, "VAE_WD": 1e-05, "KL_W": 0.0003, "KL_WARM_FRAC": 0.1, "VAE_LPIPS_W": 0.05, "VAE_LPIPS_NET": "alex", "GRAD_CLIP": 1.0, "PRECISION": "bf16", "SEED": 0}
[vae_miniwan_womd] ep   0 (init) val PSNR 5.142 LPIPS 0.8628 MSE 0.306638
  step 6400 (1402/1666 this epoch) | 489 ms/step | ~2 min left in epoch | rec 0.00223 lpips 0.0649 lr 1.54e-04
  step 6500 (1502/1666 this epoch) | 489 ms/step | ~1 min left in epoch | rec 0.00222 lpips 0.0646 lr 1.56e-04
  step 6600 (1602/1666 this epoch) | 489 ms/step | ~1 min left in epoch | rec 0.00221 lpips 0.0642 lr 1.58e-04
[vae_miniwan_womd] ep   4/50 train rec 0.002211 LPIPS 0.0640 KL 0.796 (815s) | val PSNR 27.406 LPIPS 0.1048 MSE 0.002008  *best*
  step 6700 (36/1666 this epoch) | 492 ms/step | ~13 min left in epoch | rec 0.00206 lpips 0.0582 lr 1.61e-04
  step 6800 (136/1666 this epoch) | 489 ms/step | ~12 min left in epoch | rec 0.00200 lpips 0.0568 lr 1.63e-04
  step 6900 (236/1666 this epoch) | 489 ms/step | ~12 min left in epoch | rec 0.00202 lpips 0.0572 lr 1.66e-04
  step 7000 (336/1666 this epoch) | 489 ms/step | ~11 min left in epoch | rec 0.00201 lpips 0.0566 lr 1.68e-04
  step 7100 (436/1666 this epoch) | 489 ms/step | ~10 min left in epoch | rec 0.00199 lpips 0.0562 lr 1.70e-04
  step 7200 (536/1666 this epoch) | 489 ms/step | ~9 min left in epoch | rec 0.00198 lpips 0.0559 lr 1.73e-04
  step 7300 (636/1666 this epoch) | 490 ms/step | ~8 min left in epoch | rec 0.00198 lpips 0.0559 lr 1.75e-04
  step 7400 (736/1666 this epoch) | 490 ms/step | ~8 min left in epoch | rec 0.00197 lpips 0.0554 lr 1.78e-04
  step 7500 (836/1666 this epoch) | 489 ms/step | ~7 min left in epoch | rec 0.00197 lpips 0.0551 lr 1.80e-04
  step 7600 (936/1666 this epoch) | 489 ms/step | ~6 min left in epoch | rec 0.00196 lpips 0.0549 lr 1.82e-04
  step 7700 (1036/1666 this epoch) | 489 ms/step | ~5 min left in epoch | rec 0.00196 lpips 0.0546 lr 1.85e-04
  step 7800 (1136/1666 this epoch) | 489 ms/step | ~4 min left in epoch | rec 0.00195 lpips 0.0543 lr 1.87e-04
  step 7900 (1236/1666 this epoch) | 489 ms/step | ~4 min left in epoch | rec 0.00194 lpips 0.0541 lr 1.90e-04
  step 8000 (1336/1666 this epoch) | 489 ms/step | ~3 min left in epoch | rec 0.00193 lpips 0.0538 lr 1.92e-04
  step 8100 (1436/1666 this epoch) | 489 ms/step | ~2 min left in epoch | rec 0.00192 lpips 0.0535 lr 1.94e-04
  step 8200 (1536/1666 this epoch) | 489 ms/step | ~1 min left in epoch | rec 0.00192 lpips 0.0533 lr 1.97e-04
  step 8300 (1636/1666 this epoch) | 489 ms/step | ~0 min left in epoch | rec 0.00191 lpips 0.0531 lr 1.99e-04
[vae_miniwan_womd] ep   5/50 train rec 0.001907 LPIPS 0.0530 KL 0.681 (815s) | val PSNR 28.047 LPIPS 0.0884 MSE 0.001741  *best*
  step 8400 (70/1666 this epoch) | 490 ms/step | ~13 min left in epoch | rec 0.00175 lpips 0.0493 lr 2.00e-04
  step 8500 (170/1666 this epoch) | 489 ms/step | ~12 min left in epoch | rec 0.00176 lpips 0.0489 lr 2.00e-04
